bin,n,bias,rmse
"(4.0, 4.5]",23.0,1.3782116347826088,1.5590816117970705
"(4.5, 5.0]",162.0,0.8850345104938272,1.1162767802115212
"(5.0, 5.5]",443.0,0.5821539297968398,0.8468476617286332
"(5.5, 6.0]",700.0,0.41925136785714284,0.773355320491854
"(6.0, 6.5]",786.0,0.1951227118320611,0.6926037597551624
"(6.5, 7.0]",892.0,-0.10632659708520174,0.6503821262904464
"(7.0, 7.5]",826.0,-0.3585642823244552,0.7424368328323616
"(7.5, 8.0]",700.0,-0.5194126228571428,0.8924050098072535
"(8.0, 8.5]",537.0,-0.8838652737430168,1.1364421139243763
"(8.5, 9.0]",332.0,-1.0552772180722891,1.3442965756397216
"(9.0, 9.5]",132.0,-1.3979107068181817,1.6454102578478098
"(9.5, 10.0]",66.0,-1.6604207818181818,1.9189130408257475
"(10.0, 10.5]",13.0,-2.8370899538461534,2.9668404796906183
"(10.5, 11.0]",3.0,-3.7336955999999994,3.754734680420989
