bit,importance
1750,0.14932332932949066
1873,0.09951943904161453
1380,0.09847497195005417
80,0.09501812607049942
1057,0.07712531089782715
926,0.06030871719121933
1088,0.050391171127557755
875,0.05013563111424446
1430,0.04912876337766647
561,0.046291790902614594
1019,0.045647021383047104
1995,0.041063256561756134
231,0.0409921370446682
1683,0.039220180362463
1145,0.03519676253199577
699,0.03442154452204704
455,0.033080607652664185
1308,0.03234926238656044
1365,0.03226130083203316
807,0.031195856630802155
1803,0.031123094260692596
366,0.03070925548672676
1970,0.03060855157673359
1325,0.03055668994784355
534,0.03015805594623089
1554,0.02994949370622635
1114,0.029909346252679825
1,0.02985059842467308
881,0.028189320117235184
1279,0.028180133551359177
1349,0.027468988671898842
1410,0.026593003422021866
1039,0.026525095105171204
695,0.026401491835713387
190,0.026307890191674232
407,0.025538207963109016
1152,0.02546970546245575
1292,0.025206472724676132
935,0.024889009073376656
1508,0.02466997690498829
101,0.02430584840476513
305,0.024042215198278427
1236,0.023419519886374474
1171,0.02313697151839733
1199,0.02310991659760475
651,0.02201433852314949
652,0.02078111469745636
507,0.020527036860585213
606,0.020427174866199493
1480,0.020253930240869522
